"From"	"To"
"LGMN"	"uc001yax.2"
"NGFR"	"uc002ioz.3"
"NGFR"	"uc007lam.1"
"PDGFRL"	"uc003wxr.2"
"PDGFRL"	"uc009lnh.1"
"PDGFRL"	"uc009lni.1"
"PDPN"	"uc001ave.2"
"PDPN"	"uc001avc.2"
"PDPN"	"uc009voc.2"
"PDPN"	"uc001avf.2"
"PDPN"	"uc009vob.2"
"PDPN"	"uc001avd.2"
"PDPN"	"uc008vqa.1"
"PRKAR2B"	"uc003vdx.2"
"PRKAR2B"	"uc007nhy.1"
"PRKAR2B"	"uc007nhx.1"
"SIGLEC10"	"uc002pwp.2"
"SIGLEC10"	"uc010ycz.1"
"SIGLEC10"	"uc002pwr.2"
"SIGLEC10"	"uc010eow.2"
"SIGLEC10"	"uc002pws.1"
"SIGLEC10"	"uc010ycy.1"
"SIGLEC10"	"uc002pwo.2"
"SIGLEC10"	"uc002pwq.2"
"SIGLEC14"	"uc002pxf.3"
"SIGLEC1"	"uc008mkq.1"
"SIGLEC1"	"uc008mkp.1"
"SIGLEC1"	"uc008mko.1"
"SIGLEC1"	"uc002wiz.3"
"SIGLEC1"	"uc002wjb.1"
"SIGLEC1"	"uc002wja.2"
"SIGLEC1"	"uc002wjc.2"
"SIGLEC5"	"uc002pxe.2"
"SIGLEC5"	"uc009gmn.1"
"SIGLEC5"	"uc009gmm.1"
"SIGLEC5"	"uc009gml.1"
"SLAMF9"	"uc007dql.1"
"SLAMF9"	"uc001fus.2"
"SLAMF9"	"uc001fut.2"
"SLAMF9"	"uc009wtd.2"
"STAB1"	"uc007swx.1"
"STAB1"	"uc007swu.1"
"STAB1"	"uc007sww.1"
"STAB1"	"uc007swv.1"
"STAB1"	"uc003del.2"
"STAB1"	"uc003dej.2"
"STAB1"	"uc003dei.1"
"STAB1"	"uc003dek.1"
"THBD"	"uc002wst.1"
"THBD"	"uc002wsu.1"
"THBD"	"uc002wss.2"
"THBD"	"uc008mtd.1"
"TNFAIP2"	"uc001ymm.1"
"TNFAIP2"	"uc010awo.1"
"TNFAIP2"	"uc010tya.1"
"TNFAIP2"	"uc001yml.1"
"TNFAIP2"	"uc010txz.1"
"TNFAIP2"	"uc007pcy.1"
"TNFAIP2"	"uc007pda.1"
"TNFAIP2"	"uc007pcz.1"
"TTYH2"	"uc007mfm.1"
"TTYH2"	"uc002jkd.2"
"TTYH2"	"uc010wqw.1"
"TTYH2"	"uc002jkc.2"
"UBD"	"uc008cmi.1"
"UBD"	"uc011ien.1"
"UBD"	"uc011fsl.1"
"UBD"	"uc011eic.1"
"UBD"	"uc011eua.1"
"UBD"	"uc003nmo.2"
"UBD"	"uc011hhy.1"
"UBD"	"uc011gor.1"
"VCAM1"	"uc008rbx.1"
"VCAM1"	"uc008rby.1"
"VCAM1"	"uc010ouj.1"
"VCAM1"	"uc001dtj.2"
"VCAM1"	"uc001dti.2"
"ATP6V1A"	"uc007zgx.1"
"ATP6V1A"	"uc007zgu.1"
"ATP6V1A"	"uc007zgw.1"
"ATP6V1A"	"uc007zgv.1"
"ATP6V1A"	"uc003eao.2"
"ATP6V1A"	"uc011bik.1"
"C1QB"	"uc008vip.1"
"C1QB"	"uc001bgd.2"
"CHST11"	"uc001tky.2"
"CHST11"	"uc001tkx.1"
"CHST11"	"uc007gke.1"
"CSF1"	"uc001dyt.2"
"CSF1"	"uc001dyu.2"
"CSF1"	"uc001dyv.3"
"CSF1"	"uc001dyw.3"
"CSF1"	"uc008qxm.1"
"CSF1"	"uc008qxn.1"
"CSF1"	"uc008qxk.1"
"CSF1"	"uc008qxl.1"
"CSF1R"	"uc008fbn.1"
"CSF1R"	"uc008fbo.1"
"CSF1R"	"uc008fbp.1"
"CSF1R"	"uc010jhc.2"
"CSF1R"	"uc011dcd.1"
