"From"	"To"
"TIE1"	"uc010okb.1"
"TIE1"	"uc010okf.1"
"TIE1"	"uc010oke.1"
"TIE1"	"uc001ciu.2"
"TIE1"	"uc010okg.1"
"TIE1"	"uc010okd.1"
"TIE1"	"uc009vwq.2"
"TIE1"	"uc010okc.1"
"TIE1"	"uc010oka.1"
"TIMP1"	"uc010nht.1"
"TIMP1"	"uc004dif.2"
"TIMP1"	"uc011mlr.1"
"TIMP1"	"uc009stz.1"
"TIMP1"	"uc009sty.1"
"TNFAIP6"	"uc002txk.2"
"TNFAIP6"	"uc008jqp.1"
"TSPAN4"	"uc009klo.1"
"TSPAN4"	"uc009kln.1"
"TSPAN4"	"uc001lse.1"
"TSPAN4"	"uc001lsi.1"
"TSPAN4"	"uc001lsj.1"
"TSPAN4"	"uc001lsd.1"
"TSPAN4"	"uc001lsg.1"
"TSPAN4"	"uc001lsh.1"
"TSPAN4"	"uc001lsf.1"
"VAT1"	"uc007loz.1"
"VAT1"	"uc007loy.1"
"VAT1"	"uc010cyw.1"
"VAT1"	"uc010whk.1"
"VAT1"	"uc002icm.1"
